Category: All categories

Month,data analytics: (Worldwide)
2004-01,5
2004-02,5
2004-03,1
2004-04,5
2004-05,4
2004-06,4
2004-07,5
2004-08,4
2004-09,5
2004-10,4
2004-11,4
2004-12,2
2005-01,4
2005-02,5
2005-03,4
2005-04,4
2005-05,5
2005-06,5
2005-07,4
2005-08,4
2005-09,4
2005-10,4
2005-11,6
2005-12,3
2006-01,4
2006-02,5
2006-03,5
2006-04,5
2006-05,5
2006-06,6
2006-07,6
2006-08,5
2006-09,5
2006-10,5
2006-11,4
2006-12,4
2007-01,6
2007-02,4
2007-03,5
2007-04,6
2007-05,7
2007-06,6
2007-07,7
2007-08,6
2007-09,6
2007-10,6
2007-11,6
2007-12,6
2008-01,6
2008-02,7
2008-03,7
2008-04,7
2008-05,7
2008-06,7
2008-07,7
2008-08,7
2008-09,7
2008-10,7
2008-11,6
2008-12,8
2009-01,7
2009-02,8
2009-03,8
2009-04,9
2009-05,9
2009-06,9
2009-07,9
2009-08,9
2009-09,8
2009-10,9
2009-11,8
2009-12,8
2010-01,9
2010-02,10
2010-03,11
2010-04,10
2010-05,10
2010-06,12
2010-07,10
2010-08,12
2010-09,12
2010-10,12
2010-11,11
2010-12,10
2011-01,12
2011-02,11
2011-03,13
2011-04,12
2011-05,12
2011-06,14
2011-07,12
2011-08,13
2011-09,14
2011-10,15
2011-11,16
2011-12,15
2012-01,17
2012-02,19
2012-03,20
2012-04,20
2012-05,21
2012-06,21
2012-07,21
2012-08,22
2012-09,25
2012-10,26
2012-11,26
2012-12,23
2013-01,28
2013-02,29
2013-03,32
2013-04,34
2013-05,32
2013-06,34
2013-07,35
2013-08,37
2013-09,39
2013-10,42
2013-11,39
2013-12,35
2014-01,41
2014-02,45
2014-03,47
2014-04,47
2014-05,46
2014-06,47
2014-07,49
2014-08,49
2014-09,54
2014-10,53
2014-11,55
2014-12,47
2015-01,53
2015-02,59
2015-03,61
2015-04,59
2015-05,56
2015-06,62
2015-07,64
2015-08,65
2015-09,72
2015-10,68
2015-11,65
2015-12,60
2016-01,70
2016-02,74
2016-03,77
2016-04,78
2016-05,80
2016-06,83
2016-07,83
2016-08,85
2016-09,91
2016-10,86
2016-11,88
2016-12,77
2017-01,89
2017-02,100
2017-03,98
